Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Commercial,Production,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Uncertain,Original Gas In Place,0
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Uncertain,Field recovery factor,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Uncertain,Production,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Commercial,Original Gas In Place,3.179416
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Commercial,Field recovery factor,50
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Commercial,2P Reserves,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Commercial,Production,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Uncertain,Original Gas In Place,3.179416
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Uncertain,Field recovery factor,50
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Uncertain,2P Reserves,
