Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Uncertain,Discovered Resources,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Uncertain,Production,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Commercial,Original Gas In Place,0
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Commercial,Field recovery factor,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Commercial,Technical recoverable resources,0.2139
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Commercial,2P Reserves,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Commercial,Discovered Resources,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Commercial,Production,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Uncertain,Original Gas In Place,0
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Uncertain,Field recovery factor,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Uncertain,Technical recoverable resources,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Uncertain,2P Reserves,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Uncertain,Discovered Resources,
Vietnam,ONGC,"Block 128, VN","Block 128, VN",2057,,Uncertain,Production,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Commercial,Original Gas In Place,0
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Commercial,Field recovery factor,28
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Commercial,Technical recoverable resources,15.3178
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Commercial,2P Reserves,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Commercial,Discovered Resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Commercial,Production,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Uncertain,Original Gas In Place,0
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Uncertain,Field recovery factor,28
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Uncertain,Technical recoverable resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Uncertain,2P Reserves,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Uncertain,Discovered Resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Nau, VN",2035,,Uncertain,Production,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Commercial,Original Gas In Place,1.292365
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Commercial,Field recovery factor,29
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Commercial,Technical recoverable resources,99.7207
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Commercial,2P Reserves,99.7051
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Commercial,Discovered Resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Commercial,Production,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Uncertain,Original Gas In Place,1.292365
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Uncertain,Field recovery factor,29
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Uncertain,Technical recoverable resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Uncertain,2P Reserves,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Uncertain,Discovered Resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Vang (Golden Camel), VN",2027,,Uncertain,Production,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Commercial,Original Gas In Place,0
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Commercial,Field recovery factor,28
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Commercial,Technical recoverable resources,44.841
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Commercial,2P Reserves,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Commercial,Discovered Resources,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Commercial,Production,
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Uncertain,Original Gas In Place,0
Vietnam,Murphy Oil,"Block 15-1/05, VN","Lac Da Trang (White Camel), VN",2030,,Uncertain,Field recovery factor,28
